id,name,artists,release_date,popularity,duration_ms,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0i0OTcEaKCPIYBaeP3KG2k,Combo Combo,Dimitra Galani,2004-10-21,15,242893,"classic greek pop, entehno, neo kyma",0.599,0.873,4,-5.697,1,0.0824,0.202,0,0.973,0.911,80.958
4GzXmWkDqzxepcNqMAJJs5,Pame Pio Pera,Mariza Rizou,2020-10-07,32,146877,,0.848,0.403,8,-9.032,1,0.0357,0.455,0.00135,0.0687,0.885,104.969
4tfxnfwOKMLnoLGz0qqVH6,Mila Mou Mono Mia Fora,Maraveyas,2017-06-09,17,163955,"entehno, greek swing",0.712,0.688,5,-8.027,1,0.0421,0.594,0.000898,0.424,0.959,99.918
1m35f8a6HOnbhRqgYjmKfG,Ilissos,Crime Swing Investigation,2015-02-24,24,203306,greek swing,0.652,0.362,5,-11.384,1,0.0398,0.445,0.00119,0.116,0.37,93.133
0hyGPjGg4kqZT5AEKy1xkF,Limena Kordonia,Crime Swing Investigation,2015-02-24,17,253253,greek swing,0.77,0.256,9,-9.133,0,0.0468,0.696,5.83e-05,0.147,0.259,117.985
2oZwwRr9e2sW7b68iN3Q6Q,Ena Filaki,Crime Swing Investigation,2015-02-24,23,175080,greek swing,0.701,0.275,8,-10.225,1,0.036,0.41,0,0.0757,0.411,133.022
1i1JmCIkCXDJaCgkbnYmSh,Mikra Paidia,"Natassa Bofiliou, Themis Karamouratidis, Gerasimos Evangelatos",2020-10-01,16,196283,entehno,0.529,0.402,8,-9.949,0,0.0269,0.619,2.7e-05,0.165,0.219,91.991
7lW7hEUUFixlZMv7GGrpKD,Samba Horevei,Mesogeios,2021-12-03,8,172912,,0.647,0.746,4,-6.84,0,0.0956,0.645,2.89e-06,0.372,0.766,108.427
4LknQjxYhBhEjlxmvsbOzg,Den Se Thelo Pia,Doros Dimosthenous,2016-10-25,23,221663,greek swing,0.732,0.568,2,-7.776,1,0.111,0.421,2.88e-05,0.443,0.767,123.939
0yDzkY3ZsgMIQlEVZ6D7S0,Laos Kai Kolonaki,Les Au Revoir,2018-05-31,18,194079,greek swing,0.697,0.735,1,-8.61,0,0.0266,0.135,8.46e-06,0.126,0.561,102.981
0OULJ8u8vUtcOp0Af6DDy0,"Fevgo Gia Sou, Gia Sou","Sofia Papazoglou, Alkinoos Ioannidis",2015-12-08,15,190023,rebetiko,0.734,0.642,9,-6.183,1,0.0418,0.289,0,0.207,0.929,112.089
0JbOy4HDywReNlIc9jKXR4,Simfonia Atihis,Mesogeios,2020-11-02,9,160274,,0.561,0.572,8,-7.183,1,0.0496,0.705,3.64e-06,0.191,0.685,163.868
6REYPMorA2PXEUqWEK6GUH,Poso Ligo M' Agapouses,Gadjo Dilo,2016-10-31,18,254737,greek swing,0.465,0.387,7,-8.171,1,0.0531,0.875,5.54e-05,0.137,0.417,185.146
6ndJNy3y8oz35ACC6asdoy,Mia Alli Eftihia,Mariza Rizou,2013-03-01,17,211026,,0.733,0.713,5,-7.43,1,0.0475,0.629,4.31e-06,0.1,0.818,114.973
3lu8ePWllecJ2DNjz3Tdmv,Takounia Gia Karfia,"Ioulia Karapataki, Orestis Ntantos",2022-03-24,51,201357,,0.308,0.421,2,-9.799,0,0.042,0.245,0,0.116,0.227,84.635
05OCkH1HgCln9aue97Bhhu,Xaramata I Ora Tris,"Fotini Velesiotou, Leonidas Maridakis",2013-11-15,21,201146,entehno,0.418,0.452,2,-10.728,0,0.0403,0.0942,0,0.104,0.862,167.796
1jYjf3sCEtvp8bhIkJyDD7,Sighorodopetala,Maraveyas,2016-06-17,30,208543,"entehno, greek swing",0.76,0.688,4,-7.659,1,0.0511,0.674,0.00312,0.0527,0.902,100.074
5Fc9VIyW4ebBOcscZr5kem,Pou 'sai Thanassi,"Gadjo Dilo, Tonino Carotone",2016-10-31,19,239392,greek swing,0.648,0.304,11,-9.449,0,0.109,0.826,1.09e-06,0.0795,0.498,117.699
5wPSlTbrwu3PydQ6DYqj20,San Juan,"Stavros Siolas, Rena Morfi",2020-11-25,36,214156,,0.64,0.572,5,-9.769,0,0.0634,0.505,4.49e-05,0.357,0.553,89.983
01iKpb5LCZ6aKF5QZuYbgD,I Skouna - Live,"Apurimac, Meri Lida",2015-04-27,7,190319,"greek swing, musica andina",0.732,0.809,9,-5.104,1,0.117,0.323,0,0.881,0.816,107.014
3MyH1pAvTTjaPxP2n3peVH,Esy Eisai I Aitia Pou Ypofero,Ekmek,2011-04-06,28,156586,greek indie,0.586,0.618,11,-7.142,0,0.102,0.193,0.00377,0.219,0.764,133.403
6KzM086UTBg2EH8Efyp6i0,De Milo Gia Mia Nychta Ego,Eleftheria Arvanitaki,2008-05-06,24,206386,"entehno, laiko",0.831,0.876,2,-8.339,1,0.0548,0.418,0,0.0926,0.838,97.018
5FEQjMVkz0wHrCgGu2th1b,Pes Mou Mia Lexi,Nama,2009-07-14,28,200666,greek swing,0.762,0.579,7,-7.3,1,0.0371,0.505,0.000131,0.0608,0.743,102.866
1oRekJJHiZVwGxHv8giO6A,Ena Fili,Penny Baltatzi,2019-11-15,31,221043,greek swing,0.817,0.44,7,-10.184,1,0.0557,0.409,0.00937,0.161,0.691,129.979
3l3IvPE2QlTILoP6eUqyzI,Megali Giorti,Mariza Rizou,2016,21,143485,,0.506,0.532,11,-8.7,0,0.0517,0.124,4.15e-05,0.163,0.729,125.961
0UqapmZ7BjMA1K5yTz4vn9,Afto To Agori Me Ta Matia Ta Melia,Evelina Megalokonomou,2022-06-24,7,155041,,0.493,0.326,2,-11.19,1,0.0292,0.564,5.12e-05,0.177,0.555,145.638
7LFM7iIuK9NRAvMBMDbWhv,Ama Thes Na Klapsis Klapse,Olgatakis,2018-04-23,5,175110,,0.714,0.721,0,-5.505,1,0.028,0.226,0,0.096,0.858,114.991
3y8mUpzKgxn2xAlk4IpZdn,An S' Arnitho Agapi Mou,"Apurimac, Athina Routsi",2009-07-23,25,211800,"greek swing, musica andina",0.695,0.755,9,-5.447,0,0.0522,0.409,0.00886,0.144,0.668,141.149
